,Date,no_of_comments,sentiment,sentiment_score,ticker
0,"July 26, 2023",149,Bullish,0.083,DISH
1,"July 26, 2023",109,Bullish,0.118,AI
2,"July 26, 2023",66,Bullish,0.006,MSFT
3,"July 26, 2023",53,Bullish,0.112,RTX
4,"July 26, 2023",20,Bearish,-0.101,TSLA
5,"July 26, 2023",19,Bullish,0.048,TLRY
6,"July 26, 2023",17,Bearish,-0.015,SNAP
7,"July 26, 2023",15,Bearish,0.0,NVDA
8,"July 26, 2023",14,Bullish,0.165,PACW
9,"July 26, 2023",14,Bullish,0.298,CD
10,"July 26, 2023",11,Bullish,0.08,CMG
11,"July 26, 2023",10,Bullish,0.198,QQQ
12,"July 26, 2023",9,Bullish,0.088,UPS
13,"July 26, 2023",8,Bullish,0.205,GOOG
14,"July 26, 2023",8,Bearish,-0.096,AMC
15,"July 26, 2023",8,Bullish,0.264,HD
16,"July 26, 2023",7,Bullish,0.004,TGT
17,"July 26, 2023",7,Bullish,0.168,AMZN
18,"July 26, 2023",7,Bearish,-0.362,ON
19,"July 26, 2023",7,Bullish,0.04,UI
20,"July 26, 2023",6,Bullish,0.248,UFO
21,"July 26, 2023",6,Bullish,0.229,TV
22,"July 26, 2023",6,Bullish,0.132,AAPL
23,"July 26, 2023",5,Bullish,0.371,IRS
24,"July 26, 2023",5,Bullish,0.019,DIS
25,"July 26, 2023",5,Bullish,0.021,PDT
26,"July 26, 2023",4,Bearish,-0.059,TA
27,"July 26, 2023",4,Bearish,-0.075,DTE
28,"July 26, 2023",4,Bullish,0.421,NFLX
29,"July 26, 2023",4,Bearish,-0.054,JP
30,"July 26, 2023",4,Bullish,0.102,WAL
31,"July 26, 2023",4,Bullish,0.006,RIVN
32,"July 26, 2023",4,Bearish,-0.339,CVNA
33,"July 26, 2023",3,Bullish,0.114,EOD
34,"July 26, 2023",3,Bearish,-0.181,POW
35,"July 26, 2023",3,Bullish,0.18,WOW
36,"July 26, 2023",3,Bullish,0.247,KO
37,"July 26, 2023",3,Bullish,0.56,TD
38,"July 26, 2023",3,Bullish,0.356,WMT
39,"July 26, 2023",3,Bearish,0.0,MAT
40,"July 26, 2023",3,Bullish,0.103,FTC
41,"July 26, 2023",3,Bullish,0.307,NIO
42,"July 26, 2023",3,Bullish,0.376,WW
43,"July 26, 2023",3,Bearish,0.0,GM
44,"July 26, 2023",3,Bearish,-0.416,RIDE
45,"July 26, 2023",3,Bearish,-0.153,DCF
46,"July 26, 2023",3,Bullish,0.292,AMD
47,"July 26, 2023",3,Bearish,0.0,NOW
48,"July 26, 2023",3,Bullish,0.448,SHOP
49,"July 26, 2023",3,Bullish,0.17,MS
50,"May 3, 2023",120,Bullish,0.016,PACW
51,"May 3, 2023",100,Bullish,0.062,FRC
52,"May 3, 2023",99,Bullish,0.18,AI
53,"May 3, 2023",91,Bearish,-0.03,AMD
54,"May 3, 2023",49,Bullish,0.079,JPM
55,"May 3, 2023",36,Bearish,-0.084,AAPL
56,"May 3, 2023",30,Bearish,-0.148,NVDA
